symbol,information
192.168.1.105,7.219168520462162
192.168.1.1,4.4118135984045574
192.168.1.103,5.219168520462161
192.168.1.200,1.6044586763469533
192.168.1.112,3.6342060197410055
192.168.1.100,4.897240425574799
192.168.1.106,3.5187288023210694
192.168.1.121,1.437808806937502
192.168.1.154,5.634206019741006
